city,country,state,worldregion,lat,long
Brisbane,Australia,,apac,-27.4689682,153.0234991
Sydney,Australia,,apac,-33.8548157,151.2164539
Canberra,Australia,,apac,-35.2975906,149.1012676
Melbourne,Australia,,apac,-37.8142176,144.9631608
Adelaide,Australia,,apac,-34.9284970,138.6007390
Darwin,Australia,,apac,-12.4604400,130.8410469
Perth,Australia,,apac,-31.9527121,115.8604796
Taipei,China,,apac,25.0561391,121.5997951
Shanghai,China,,apac,31.2322758,121.4692071
Tianjin,China,,apac,39.0856735,117.1951073
Beijing,China,,apac,39.9062170,116.3912757
Wuhan,China,,apac,30.5951051,114.2999353
Hong Kong,China,,apac,22.2793278,114.1628131
Guangzhou,China,,apac,23.1301964,113.2592945
Kolkata,India,,apac,22.5726723,88.3638815
Lucknow,India,,apac,26.8381000,80.9346001
Chennai,India,,apac,13.0836939,80.2701860
Hyderabad,India,,apac,17.3605890,78.4740613
Bangalore,India,,apac,12.9791198,77.5912997
Delhi,India,,apac,28.6517178,77.2219388
Jaipur,India,,apac,26.9154576,75.8189817
Pune,India,,apac,18.5214280,73.8544541
Mumbai,India,,apac,19.0759899,72.8773928
Surat,India,,apac,21.1864607,72.8081281
Ahmedabad,India,,apac,23.0145090,72.5917590
Makassar,Indonesia,,apac,-5.1342962,119.4124282
Balikpapan,Indonesia,,apac,-1.2781800,116.8233570
Surabaya,Indonesia,,apac,-7.2459717,112.7378266
Bandung,Indonesia,,apac,-6.9174640,107.6191250
Jakarta,Indonesia,,apac,-6.1753942,106.8271830
Sapporo,Japan,,apac,43.0619360,141.3542924
Tokio,Japan,,apac,35.6828387,139.7594549
Yokohama,Japan,,apac,35.4449910,139.6367680
Nagoya,Japan,,apac,35.1851045,136.8998438
Kyoto,Japan,,apac,35.0210410,135.7556075
Osaka,Japan,,apac,34.6198813,135.4903570
Kobe,Japan,,apac,34.6932379,135.1943764
Fukuoka,Japan,,apac,33.6251241,130.6180016
Kuala Lumpur,Malaysia,,apac,3.1516964,101.6942371
Wellington,New Zealand,,apac,-41.2887953,174.7772114
Auckland,New Zealand,,apac,-36.8484610,174.7633360
Christchurch,New Zealand,,apac,-43.5309550,172.6366455
Cebu,Philippines,,apac,10.4500000,123.8400000
Manila,Philippines,,apac,14.5907332,120.9809674
Singapore,Singapore,,apac,1.3571070,103.8194992
Bangkok,Thailand,,apac,13.7544238,100.4930399
Ho chi Minh-Ville,Vietnam,,apac,10.7715512,106.6983801
Hanoi,Vietnam,,apac,21.0294498,105.8544441
Vienna,Austria,,europe,48.2083537,16.3725042
Tulln,Austria,,europe,48.3311686,16.0567744
Graz,Austria,,europe,47.0708678,15.4382786
Klagenfurt,Austria,,europe,46.6228162,14.3079604
Linz,Austria,,europe,48.3059078,14.2861980
Salzburg,Austria,,europe,47.7981346,13.0464806
Minsk,Belarus,,europe,53.9023340,27.5618791
Antwerp,Belgium,,europe,51.2211097,4.3997081
Brussels,Belgium,,europe,50.8437350,4.3597792
Bruges,Belgium,,europe,51.2085526,3.2267720
Brno,Czech Republic,,europe,49.1922443,16.6113382
Prague,Czech Republic,,europe,50.0596288,14.4464593
Copenhagen,Denmark,,europe,55.6867243,12.5700724
London,England,,europe,51.5073219,-0.1276474
Brighton,England,,europe,50.8214626,-0.1400561
Manchester,England,,europe,53.4794892,-2.2451148
Liverpool,England,,europe,53.4071991,-2.9916800
Tallinn,Estonia,,europe,59.4372155,24.7453688
Helsinki,Finland,,europe,60.1674881,24.9427473
Strasbourg,France,,europe,48.5846140,7.7507127
Nice,France,,europe,43.7009358,7.2683912
Cannes,France,,europe,43.5515198,7.0134418
Sochaux,France,,europe,47.5138206,6.8303896
Toulon,France,,europe,43.1257311,5.9304919
Grenoble,France,,europe,45.1875602,5.7357819
Aix-en-Provence,France,,europe,43.5298424,5.4474738
Marseille,France,,europe,43.2961743,5.3699525
Lyon,France,,europe,45.7578137,4.8320114
Saint-Etienne,France,,europe,45.4401467,4.3873058
Lille,France,,europe,50.6365654,3.0635282
Narbonne,France,,europe,43.1837661,3.0042121
Paris,France,,europe,48.8566969,2.3514616
Amiens,France,,europe,49.8941708,2.2956951
Toulouse,France,,europe,43.6044622,1.4442469
Rouen,France,,europe,49.4404591,1.0939658
Niort,France,,europe,46.3241132,-0.4649403
Bordeaux,France,,europe,44.8412250,-0.5800364
Rochefort,France,,europe,45.9438412,-0.9687519
La Rochelle,France,,europe,46.1591126,-1.1520434
Nantes,France,,europe,47.2186371,-1.5541362
Landivisiau,France,,europe,48.5127551,-4.0699356
Brest,France,,europe,48.3905283,-4.4860088
Dresden,Germany,,europe,51.0493286,13.7381437
Berlin,Germany,,europe,52.5170365,13.3888599
Munich,Germany,,europe,48.1371079,11.5753822
Hamburg,Germany,,europe,53.5503410,10.0006540
Stuttgart,Germany,,europe,48.7784485,9.1800132
Frankfurt,Germany,,europe,50.1106444,8.6820917
Kehl,Germany,,europe,48.5728929,7.8109768
Bonn,Germany,,europe,50.7358510,7.1006600
Cologne,Germany,,europe,50.9383610,6.9599740
Düsseldorf,Germany,,europe,51.2254018,6.7763137
Mönchengladbach,Germany,,europe,51.1946983,6.4353641
Athens,Greece,,europe,37.9839412,23.7283052
Kalamata,Greece,,europe,37.0377582,22.1109392
Szeged,Hungary,,europe,46.2546312,20.1486016
Budapest,Hungary,,europe,47.4979937,19.0403594
Györ,Hungary,,europe,47.6876090,17.6346815
Rejkjavik,Iceland,,europe,64.1459810,-21.9422367
Dublin,Ireland,,europe,53.3497645,-6.2602732
Cork,Ireland,,europe,51.8970770,-8.4654674
Limerick,Ireland,,europe,52.6612520,-8.6301239
Galway,Ireland,,europe,53.1439907,-9.4694862
Naples,Italy,,europe,40.8359336,14.2487826
Napoli,Italy,,europe,40.8359336,14.2487826
Rome,Italy,,europe,41.8933203,12.4829321
Venezia,Italy,,europe,45.4371908,12.3345898
Bologna,Italy,,europe,44.4937577,11.3430308
Firenze,Italy,,europe,43.7698712,11.2555757
Pisa,Italy,,europe,43.7159395,10.4018624
Milan,Italy,,europe,45.4668000,9.1905000
Genoa,Italy,,europe,44.4072600,8.9338624
Genova,Italy,,europe,44.4072600,8.9338624
Torino,Italy,,europe,45.0677551,7.6824892
Riga,Latvia,,europe,56.9493977,24.1051846
Vilnius,Lithuania,,europe,54.6870458,25.2829111
Skopje,Macedonia,,europe,41.9960924,21.4316495
Amsterdam,Netherlands,,europe,52.3727598,4.8936041
Rotterdam,Netherlands,,europe,51.9228934,4.4631786
